step	pg1
254	0.0016003999999999997
295	0.00023920000000000018
255	0.0015672
296	0.00020600000000000053
256	0.0015340000000000004
297	0.00017279999999999976
257	0.0015007999999999994
298	0.00013960000000000009
258	0.0014675999999999997
299	0.00010640000000000042
259	0.0014344000000000002
260	0.0014012000000000004
261	0.0013679999999999999
262	0.0013348000000000001
263	0.0013016000000000006
264	0.0012683999999999996
265	0.0012352
266	0.0012020000000000004
267	0.0011687999999999996
268	0.0011356
269	0.0011024000000000001
270	0.0010692000000000006
271	0.0010359999999999998
272	0.0010028000000000003
273	0.0009696000000000005
274	0.0009363999999999998
275	0.0009032000000000002
276	0.0008700000000000003
277	0.0008367999999999996
278	0.0008036
279	0.0007704000000000003
280	0.0007371999999999995
281	0.0007039999999999999
282	0.0006708000000000003
283	0.0006376000000000005
284	0.0006043999999999998
285	0.0005712
286	0.0005380000000000004
287	0.0005047999999999997
288	0.0004716000000000001
289	0.0004384000000000003
290	0.0004051999999999996
291	0.000372
292	0.00033880000000000027
293	0.0003055999999999995
294	0.00027239999999999984
295	0.00023920000000000018
296	0.00020600000000000053
297	0.00017279999999999976
298	0.00013960000000000009
299	0.00010640000000000042
