step	pg1
178	0.004123600000000001
149	0.0050864
179	0.004090399999999999
150	0.005053200000000001
180	0.0040571999999999995
151	0.00502
181	0.004024000000000001
152	0.0049868000000000004
182	0.003990799999999999
153	0.0049536
183	0.0039576
154	0.0049204
184	0.0039244
155	0.0048872
185	0.003891200000000001
156	0.004854
186	0.003858
157	0.0048208
187	0.0038248
158	0.0047876
188	0.0037916000000000004
159	0.004754400000000001
189	0.0037583999999999994
160	0.0047212
190	0.0037252
191	0.0036920000000000004
161	0.004688
192	0.0036587999999999994
162	0.004654800000000001
193	0.0036256
163	0.0046216
194	0.0035924
164	0.0045884
195	0.0035592000000000006
165	0.004555200000000001
196	0.0035259999999999996
166	0.004521999999999999
197	0.0034928000000000003
167	0.0044888
198	0.0034596000000000006
168	0.0044556000000000005
199	0.0034263999999999996
169	0.0044224
200	0.0033932000000000003
170	0.0043892
201	0.00336
171	0.0043560000000000005
202	0.0033268
203	0.0032936
172	0.004322800000000001
204	0.0032604000000000005
173	0.004289599999999999
205	0.0032271999999999995
174	0.0042564000000000005
206	0.003194
175	0.004223200000000001
207	0.0031608000000000005
176	0.00419
208	0.0031276000000000003
177	0.0041568
209	0.0030944
178	0.004123600000000001
210	0.0030612
179	0.004090399999999999
211	0.0030280000000000007
180	0.0040571999999999995
212	0.0029947999999999997
181	0.004024000000000001
213	0.0029616
214	0.0029284000000000007
182	0.003990799999999999
215	0.0028951999999999997
183	0.0039576
216	0.002862
184	0.0039244
217	0.0028288000000000002
185	0.003891200000000001
218	0.0027955999999999996
186	0.003858
219	0.0027624
187	0.0038248
220	0.0027292
188	0.0037916000000000004
221	0.0026960000000000005
189	0.0037583999999999994
222	0.0026627999999999995
190	0.0037252
223	0.0026296
224	0.0025964000000000004
191	0.0036920000000000004
225	0.0025632
192	0.0036587999999999994
226	0.00253
193	0.0036256
227	0.0024968000000000004
194	0.0035924
228	0.0024636
195	0.0035592000000000006
229	0.0024304
196	0.0035259999999999996
230	0.0023972000000000004
197	0.0034928000000000003
231	0.0023639999999999993
198	0.0034596000000000006
232	0.0023308
199	0.0034263999999999996
233	0.0022976000000000003
200	0.0033932000000000003
234	0.0022644000000000006
201	0.00336
235	0.0022312
202	0.0033268
236	0.0021980000000000003
203	0.0032936
237	0.0021648000000000006
204	0.0032604000000000005
238	0.0021315999999999996
239	0.0020984
205	0.0032271999999999995
240	0.0020652000000000005
206	0.003194
241	0.0020319999999999995
207	0.0031608000000000005
242	0.0019988000000000002
208	0.0031276000000000003
243	0.0019656000000000005
209	0.0030944
244	0.0019323999999999995
210	0.0030612
245	0.0018991999999999998
211	0.0030280000000000007
246	0.0018660000000000003
212	0.0029947999999999997
247	0.0018328000000000005
213	0.0029616
248	0.0017996
249	0.0017664000000000002
214	0.0029284000000000007
250	0.0017332000000000003
215	0.0028951999999999997
251	0.0016999999999999997
216	0.002862
252	0.0016668
217	0.0028288000000000002
253	0.0016336000000000005
218	0.0027955999999999996
254	0.0016003999999999997
219	0.0027624
255	0.0015672
220	0.0027292
256	0.0015340000000000004
221	0.0026960000000000005
257	0.0015007999999999994
258	0.0014675999999999997
222	0.0026627999999999995
259	0.0014344000000000002
223	0.0026296
260	0.0014012000000000004
224	0.0025964000000000004
261	0.0013679999999999999
225	0.0025632
262	0.0013348000000000001
226	0.00253
263	0.0013016000000000006
227	0.0024968000000000004
264	0.0012683999999999996
228	0.0024636
265	0.0012352
229	0.0024304
266	0.0012020000000000004
230	0.0023972000000000004
267	0.0011687999999999996
268	0.0011356
231	0.0023639999999999993
269	0.0011024000000000001
232	0.0023308
270	0.0010692000000000006
233	0.0022976000000000003
271	0.0010359999999999998
234	0.0022644000000000006
272	0.0010028000000000003
235	0.0022312
273	0.0009696000000000005
236	0.0021980000000000003
274	0.0009363999999999998
237	0.0021648000000000006
275	0.0009032000000000002
238	0.0021315999999999996
276	0.0008700000000000003
239	0.0020984
277	0.0008367999999999996
278	0.0008036
240	0.0020652000000000005
279	0.0007704000000000003
241	0.0020319999999999995
280	0.0007371999999999995
242	0.0019988000000000002
281	0.0007039999999999999
243	0.0019656000000000005
282	0.0006708000000000003
244	0.0019323999999999995
283	0.0006376000000000005
245	0.0018991999999999998
284	0.0006043999999999998
246	0.0018660000000000003
285	0.0005712
286	0.0005380000000000004
247	0.0018328000000000005
287	0.0005047999999999997
248	0.0017996
288	0.0004716000000000001
249	0.0017664000000000002
289	0.0004384000000000003
250	0.0017332000000000003
290	0.0004051999999999996
251	0.0016999999999999997
291	0.000372
252	0.0016668
292	0.00033880000000000027
293	0.0003055999999999995
253	0.0016336000000000005
294	0.00027239999999999984
